Case,Location,Year,Type,Age,Race,Gender,Fatalities,Injured,Victims,Place,Legally,Mental,Sources
Oikos University killings,"Oakland, California",2012,Mass,43,asian,male,7,3,10,School,yes,yes,http://blog.sfgate.com/eguillermo/2012/04/05/something-still-doesnt-compute-in-the-one-goh-nightmare/; http://www.mercurynews.com/top-stories/ci_20308252/police-respond-shooting-east-oakland; http://www.cbsnews.com/8301-504083_162-57408732-504083/gun-used-in-oikos-university-shooting-rampage-was-bought-legally-police-say/; http://berkeley.patch.com/articles/one-l-goh-showed-violent-tendencies-before-the-oikos-university-shooting-oikos-university-shooting
Su Jung Health Sauna shooting,"Norcross, Georgia",2012,Mass,59,asian,male,5,0,5,Other,yes,yes,http://www.gwinnettdailypost.com/news/2012/feb/23/police-id-4-victims-shooter-in-spa-killing/; http://www.cbsnews.com/8301-504083_162-57479989-504083/shooting-sprees-in-2012-crimesider-reports-on-some-of-the-countrys-worst-public-shootings-this-year/; http://chronicle.augusta.com/news/metro/2012-02-22/victims-korean-spa-shooting-near-atlanta-were-2-married-couples-gunman-was; http://onlineathens.com/local-news/2012-02-23/mass-shooting-spa-shocks-ga-korean-community
Seal Beach shooting,"Seal Beach, California",2011,Mass,42,white,male,8,1,9,Other,yes,yes,http://laist.com/2011/10/13/seal_beach_shooter_suffered_from_ptsd.php; http://blogs.ocweekly.com/navelgazing/2011/10/hair_salon_seal_beach_shooting.php; http://latimesblogs.latimes.com/lanow/2011/10/seal-beach-shooting-suspect-had-been-ordered-not-to-carry-guns-.html; http://articles.latimes.com/2011/oct/12/local/la-me-1013-seal-beach-shooting-20111013
IHOP shooting,"Carson City, Nevada",2011,Mass,32,latino,male,5,7,12,Other,yes,yes,http://www.huffingtonpost.com/2011/11/03/eduardo-sencion-ihop-shooter_n_1073677.html; http://www.lasvegassun.com/news/2011/sep/06/report-seven-shot-inside-carson-city-ihop/; http://www.lasvegassun.com/news/2011/oct/23/nv-gun-laws-rampage-2nd-ld-writethru/
Tucson shooting,"Tucson, Arizona",2011,Mass,22,white,male,6,13,19,Other,yes,yes,"http://www.time.com/time/magazine/article/0,9171,2042358,00.html; http://www.csmonitor.com/USA/Politics/2011/0110/Why-Jared-Loughner-was-allowed-to-buy-a-gun; http://www.nytimes.com/2011/01/09/us/politics/09giffords.html?ref=jaredleeloughner"
Hartford Beer Distributor shooting,"Manchester, Connecticut",2010,Mass,34,black,male,9,2,11,Workplace,yes,no,http://www.cbsnews.com/8301-504083_162-20012557-504083.html; http://www.msnbc.msn.com/id/38535909/ns/us_news-crime_and_courts/t/dead-shooting-conn-beer-distributor/#.UFGJAqRrND4; http://www.foxnews.com/us/2010/08/03/dead-wounded-conn-workplace-shooting/
Coffee shop police killings,"Parkland, Washington",2009,Mass,37,black,male,4,1,5,Other,no,yes,http://seattletimes.com/html/localnews/2010385617_webmansought29.html; http://www.nytimes.com/2009/11/30/us/30tacoma.html?_r=1; http://seattletimes.com/html/localnews/2014155225_clemmons08m.html
Fort Hood massacre,"Fort Hood, Texas",2009,Mass,39,other/unknown,male,13,30,43,Military,yes,unclear/unknown/tbd,http://seattletimes.com/html/nationworld/2010232219_apusforthoodshooting.html; http://articles.latimes.com/2010/oct/21/nation/la-na-fort-hood-20101022; http://thelede.blogs.nytimes.com/2009/11/05/reports-of-mass-shooting-at-fort-hood/; http://www.usatoday.com/news/military/story/2012-08-14/fort-hood-rampage-trial/57050394/1
Binghamton shootings,"Binghamton, New York",2009,Mass,41,asian,male,14,4,18,Other,yes,yes,http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=0; http://www.nytimes.com/2009/04/04/nyregion/04hostage.html?pagewanted=all
Carthage nursing home shooting,"Carthage, North Carolina",2009,Mass,45,white,male,8,3,11,Other,yes,yes,http://www.wral.com/news/local/story/9845639/; http://www.wral.com/news/local/story/4837676/
Atlantis Plastics shooting,"Henderson, Kentucky",2008,Spree,25,white,male,6,1,7,Workplace,yes,no,"http://www.foxnews.com/story/0,2933,371242,00.html; http://www.msnbc.msn.com/id/25393695/ns/us_news-crime_and_courts/t/witnesses-describe-chaotic-scene-ky-plant/#.UFEbHhhgspQ"
Northern Illinois University shooting,"DeKalb, Illinois",2008,Mass,27,white,male,5,21,26,School,yes,yes,http://www.huffingtonpost.com/jonathan-fast/steve-kazmierczak-the-sec_b_87031.html; http://www.msnbc.msn.com/id/23171567/ns/us_news-crime_and_courts/t/college-shooters-deadly-rampage-baffles-friends/#.UFEZnhhgspQ; http://www.nytimes.com/slideshow/2008/02/14/us/0214-SHOOTING_index.html?ref=schoolshooting&gwh=B62598A5487B946A532C5846B4A85156; www.niu.edu/feb14report/Feb14report.pdf
Kirkwood City Council shooting,"Kirkwood, Missouri",2008,Mass,52,black,male,6,2,8,Other,no,no,http://www.stltoday.com/news/local/crime-and-courts/charles-lee-cookie-thornton-behind-the-smile/article_be96f13c-78b9-11df-bfdc-0017a4a78c22.html; http://www.nytimes.com/2008/02/08/us/08missouri.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SL&p_theme=sl&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=11F1CADA291472F0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM
Westroads Mall shooting,"Omaha, Nebraska",2007,Spree,19,white,male,9,4,13,Other,no,yes,"http://www.guardian.co.uk/world/2007/dec/06/usa.usgunviolence2; http://www.npr.org/templates/story/story.php?storyId=16962485; http://www.independentmail.com/news/2007/dec/08/officials-say-assault-rifles-cause-roughly-same-am/; http://www.latimes.com/news/nationworld/nation/la-na-mall7dec07,0,882178.story"
Crandon shooting,"Crandon, Wisconsin",2007,Mass,20,white,male,6,1,7,Other,yes,unclear/unknown/tbd,"http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368; http://news.google.com/newspapers?id=O-MqAAAAIBAJ&sjid=u0UEAAAAIBAJ&pg=6724,5434155&dq=crandon+shooting&hl=en"
Virginia Tech massacre,"Blacksburg, Virginia",2007,Mass,23,asian,male,32,23,55,School,yes,yes,http://www.nytimes.com/2007/04/24/us/24virginia.html; http://www.thestandard.com.hk/news_detail.asp?we_cat=9&art_id=42489&sid=13196711&con_type=1&d_str=20070419&fc=10; http://smartgunlaws.org/mental-health-reporting-policy-summary/
Trolley Square shooting,"Salt Lake City, Utah",2007,Mass,18,white,male,6,4,10,Other,unknown/tbd,unclear/unknown/tbd,http://www.deseretnews.com/article/660205647/Ex-relative-calls-Talovic-vicious-troubled.html?pg=all; http://www.cbsnews.com/stories/2007/02/15/national/main2480419.shtml; http://www.cbsnews.com/8301-201_162-2823327.html
Amish school shooting,"Lancaster County, Pennsylvania",2006,Mass,32,white,male,6,5,11,School,yes,no,"http://news.google.com/newspapers?id=O8oyAAAAIBAJ&sjid=YSUEAAAAIBAJ&pg=6143,1260138&dq=charles+carl+roberts+mentally+ill&hl=en;http://www.msnbc.msn.com/id/15105305/ns/us_news-crime_and_courts/t/th-girl-dies-after-amish-schoolhouse-shooting/#.UFD4SxhgspQ; http://www.foxnews.com/story/0,2933,217170,00.html"
Capitol Hill massacre,"Seattle, Washington",2006,Mass,28,white,male,7,2,9,Other,yes,no,http://seattletimes.com/html/localnews/2002892043_shooter27m.html; http://seattletimes.com/html/localnews/2002898900_huff30m.html
Goleta postal shootings,"Goleta, California",2006,Mass,44,white,female,8,0,8,Workplace,yes,yes,http://www.msnbc.msn.com/id/11167920/ns/us_news-crime_and_courts/t/postal-killer-believed-she-was-target-plot/#.UIxy7kzLwTE; http://www.cbsnews.com/stories/2006/02/02/national/main1272077.shtml; 
Red Lake massacre,"Red Lake, Minnesota",2005,Mass,16,native american,male,10,5,15,School,no,yes,"http://news.google.com/newspapers?id=c4dIAAAAIBAJ&sjid=_XEDAAAAIBAJ&pg=5163,1527281&dq=jeffrey+weise+mental+ill&hl=en; http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story; http://www.usnews.com/usnews/news/articles/050404/4redlake.htm; http://www.foxnews.com/story/0,2933,151116,00.html"
Living Church of God shooting,"Brookfield, Wisconsin",2005,Spree,44,white,male,7,4,11,Religious,yes,yes,"http://www.cbsnews.com/2100-201_162-679761.html; http://www.foxnews.com/story/0,2933,150255,00.html; http://www.msnbc.msn.com/id/7167861/ns/us_news-crime_and_courts/t/relatives-struggle-answers-after-shooting/#.UN3Scko6JT4"
Damageplan show shooting,"Columbus, Ohio",2004,Mass,25,white,male,5,7,12,Other,yes,yes,http://www.cbsnews.com/2100-201_162-659983.html; http://www.knac.com/article.asp?ArticleID=3417; http://www.blabbermouth.net/news.aspx?mode=Article&newsitemID=86362
Lockheed Martin shooting,"Meridian, Mississippi",2003,Mass,48,white,male,7,8,15,Workplace,yes,yes,http://usatoday30.usatoday.com/news/nation/2003-07-08-miss-shooting-main_x.htm; http://www.nytimes.com/2003/07/09/us/man-kills-5-co-workers-at-plant-and-himself.html; http://www.nytimes.com/2003/07/16/us/national-briefing-south-mississippi-death-toll-rises-in-plant-shooting.html
Navistar shooting,"Melrose Park, Illinois",2001,Mass,66,black,male,5,4,9,Workplace,yes,no,http://articles.chicagotribune.com/2001-02-07/news/0102070122_1_navistar-gun-law-hunting-rifle; http://www.vpc.org/studies/wgun010205.htm
Wakefield massacre,"Wakefield, Massachusetts",2000,Mass,42,white,male,7,0,7,Workplace,yes,yes,"http://www.time.com/time/magazine/article/0,9171,93313,00.html; http://articles.cnn.com/2002-04-22/justice/ctv.mcdermott.trial_1_michael-mcdermott-jury-deliberates-fate-mental-illness?_s=PM:LAW; http://www.nytimes.com/2000/12/27/us/7-die-in-rampage-at-company-co-worker-of-victims-arrested.html; http://www.vpc.org/studies/wgun001226.htm"
Hotel shooting,"Tampa, Florida",1999,Spree,36,latino,male,5,3,8,Workplace,yes,yes,"http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml; http://www.vpc.org/studies/wgun991230.htm; http://news.google.com/newspapers?id=CSUdAAAAIBAJ&sjid=ZaYEAAAAIBAJ&pg=2043,2634069&dq=silvio+leyva+shooting&hl=en"
Xerox killings,"Honolulu, Hawaii",1999,Spree,40,asian,male,7,0,7,Workplace,yes,yes,http://archives.starbulletin.com/2000/06/02/news/story2.html; http://www.vpc.org/studies/wgun991102.htm
Wedgwood Baptist Church shooting,"Fort Worth, Texas",1999,Mass,47,white,male,8,7,15,Religious,yes,yes,http://www.nytimes.com/1999/09/20/us/fort-worth-remembers-those-killed-at-church.html?pagewanted=all&src=pm; http://www.nytimes.com/1999/09/18/us/death-in-a-church-the-overview-with-question-of-why-unanswered-fort-worth-mourns.html; http://www.vpc.org/studies/wgun990915.htm
Atlanta day trading spree killings,"Atlanta, Georgia",1999,Mass,44,white,male,9,13,22,Workplace,yes,yes,http://www.independent.co.uk/news/i-dont-plan-to-live-much-longer-just-long-enough-to-kill-the-people-that-greedily-sought-my-destruction-1109610.html; http://articles.cnn.com/1999-07-30/us/9907_30_atlanta.shooting.06_1_gladys-barton-debra-spivey-barton-note?_s=PM:US; http://www.vpc.org/studies/wgun990729.htm
Columbine High School massacre,"Littleton, Colorado",1999,Mass,17,white,male,13,24,37,School,no,yes,http://www.usatoday.com/news/nation/2009-04-13-columbine-myths_N.htm; http://www.vpc.org/studies/wgun990420.htm; http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html
Thurston High School shooting,"Springfield, Oregon",1998,Mass,15,white,male,4,25,29,School,no,yes,http://www.katu.com/news/local/8082147.html; http://www.pbs.org/wgbh/pages/frontline/shows/kinkel/kip/cron.html; http://www.oregonlive.com/special/index.ssf/2008/05/the_suspect_kipland_kinkels_da.html; http://articles.cnn.com/2000-01-21/us/kinkel.revisited_1_kip-kinkel-thurston-high-school-oregon-school-shooting?_s=PM:US
Westside Middle School killings,"Jonesboro, Arkansas",1998,Mass,11,white,male,5,10,15,School,no,no,http://www.vpc.org/studies/wgun980324.htm
Connecticut Lottery shooting,"Newington, Connecticut",1998,Mass,35,white,male,5,1,6,Workplace,yes,yes,http://www.nytimes.com/1998/03/07/nyregion/rampage-connecticut-overview-connecticut-lottery-worker-kills-4-bosses-then.html?pagewanted=all&src=pm; http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm
Caltrans maintenance yard shooting,"Orange, California",1997,Spree,41,latino,male,5,2,7,Workplace,yes,no,"http://articles.latimes.com/1997/dec/20/news/mn-431; http://articles.latimes.com/1997/dec/22/local/me-1156; http://www.vpc.org/studies/wgun971218.htm; http://news.google.com/newspapers?id=DitZAAAAIBAJ&sjid=LEcNAAAAIBAJ&pg=6705,2243998&dq=arturo+reyes+torres+caltrans&hl=en"
R.E. Phelon Company shooting,"Aiken, South Carolina",1997,Mass,43,black,male,4,3,7,Workplace,no,no,http://www.vpc.org/studies/wgun970915.htm; http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",1996,Spree,41,black,male,6,1,7,Workplace,yes,yes,http://www.nytimes.com/1996/02/11/us/florida-killer-said-victims-were-racists-police-say.html; http://articles.sun-sentinel.com/1996-02-10/news/9602090635_1_million-firearms-multiple-guns-reloading
Walter Rossler Company massacre,"Corpus Christi, Texas",1995,Mass,28,other/unknown,male,6,0,6,Workplace,yes,no,http://web.caller.com/2000/april/03/today/local_ne/4127.html
Air Force base shooting,"Fairchild Air Force Base, Washington",1994,Mass,20,white,male,5,23,28,Military,yes,yes,http://articles.latimes.com/1994-06-22/news/mn-7137_1_air-force; http://www.nytimes.com/1994/06/22/us/an-airman-s-revenge-5-minutes-of-terror.html
Chuck E. Cheese's killings,"Aurora, Colorado",1993,Mass,19,black,male,4,1,5,Workplace,unknown/tbd,unclear/unknown/tbd,"http://www.denverpost.com/news/ci_20218952/aurora-chuck-e-cheese-killers-appeal-cites-mental; http://abcnews.go.com/US/auroras-massacre-victims-20-year-wait-justice/story?id=16847013; http://www.5280.com/magazine/2008/12/politics-killing?page=0,6 "
Long Island Rail Road massacre,"Garden City, New York",1993,Spree,35,black,male,6,19,25,Other,yes,yes,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html; http://www.vpc.org/studies/wgun931207.htm
Luigi's shooting,"Fayetteville, North Carolina",1993,Mass,22,white,male,4,8,12,Other,yes,no,"http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en"
101 California Street shootings,"San Francisco, California",1993,Mass,55,white,male,9,6,15,Other,no,no,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm
Watkins Glen killings,"Watkins Glen, New York",1992,Mass,50,white,male,5,0,5,Other,yes,yes,http://www.nytimes.com/1992/10/17/nyregion/shooting-followed-tougher-efforts-to-collect-child-support.html?pagewanted=2&src=pm; http://www.nytimes.com/1992/10/16/nyregion/gunman-kills-4-who-collected-child-payments.html?pagewanted=all&src=pm; http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html
Lindhurst High School shooting,"Olivehurst, California",1992,Mass,20,white,male,4,10,14,School,yes,no,http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf; http://www.appeal-democrat.com/news/school-47104-shooting-eckardt.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB0D9D91FC593A0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.sfgate.com/crime/article/Death-verdict-OKd-for-school-slaughter-3758444.php
Royal Oak postal shootings,"Royal Oak, Michigan",1991,Mass,31,white,male,5,5,10,Workplace,yes,yes,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html
University of Iowa shooting,"Iowa City, Iowa",1991,Spree,28,asian,male,6,1,7,School,yes,unclear/unknown/tbd,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm
Luby's massacre,"Killeen, Texas",1991,Mass,35,white,male,24,20,44,Other,yes,no,http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm
GMAC massacre,"Jacksonville, Florida",1990,Mass,42,black,male,10,4,14,Other,yes,no,http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html; http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html?pagewanted=all&src=pm
Standard Gravure shooting,"Louisville, Kentucky",1989,Mass,47,white,male,9,12,21,Workplace,yes,yes,http://nl.newsbank.com/nl-search/we/Archives?p_product=LH&s_site=kentucky&p_multi=LH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB73C025033DC82&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html?pagewanted=all&src=pm
Stockton schoolyard shooting,"Stockton, California",1989,Mass,26,white,male,6,29,35,School,yes,yes,"http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html"
ESL shooting,"Sunnyvale, California",1988,Mass,39,white,male,7,4,11,Workplace,yes,yes,"http://articles.latimes.com/1988-02-18/news/mn-43514_1_mr-farley-richard-farley-sunnyvale-public-safety-department; http://news.google.com/newspapers?id=uqxAAAAAIBAJ&sjid=sDIHAAAAIBAJ&pg=2425,5898911&dq=richard+farley+shooting&hl=en; http://news.google.com/newspapers?id=FmYzAAAAIBAJ&sjid=WzIHAAAAIBAJ&pg=7028,576811&dq=richard+farley+shooting&hl=en"
Shopping centers spree killings,"Palm Bay, Florida",1987,Spree,59,white,male,6,14,20,Other,yes,yes,http://articles.latimes.com/1987-04-25/news/mn-990_1_palm-bay-police
United States Postal Service shooting,"Edmond, Oklahoma",1986,Mass,44,white,male,15,6,21,Workplace,yes,unclear/unknown/tbd,"http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en"
San Ysidro McDonald's massacre,"San Ysidro, California",1984,Mass,41,white,male,22,19,41,Other,yes,yes,http://www.utsandiego.com/san-ysidro-massacre/; http://www.vpc.org/studies/wgun840718.htm
Dallas nightclub shooting,"Dallas, Texas",1984,Mass,39,white,male,6,1,7,Other,no,yes,"http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA38&lpg=PA38&dq=Abdelkrim+Belachheb+mental&source=bl&ots=D56pgdNnnl&sig=grAT08P9HLfPoHVgwlXt8RfPHz0&hl=en&; http://www.nytimes.com/1984/06/30/us/6-die-in-dallas-club-as-enraged-man-fires-wildly.html; http://news.google.com/newspapers?id=gKQyAAAAIBAJ&sjid=WO8FAAAAIBAJ&pg=1236,2915759&dq=abdelkrim+belachheb&hl=en; http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false"
Welding shop shooting,"Miami, Florida",1982,Mass,51,white,male,8,3,11,Other,yes,yes,http://www.nytimes.com/1982/08/21/us/gunman-in-miami-kills-8-in-rampage.html; http://www.nytimes.com/1982/08/24/us/no-charges-planned-against-miami-man-who-shot-gunman.html; http://www.nytimes.com/1982/10/14/us/florida-city-rescinds-law-on-buying-guns.html
